Business_ID,Business_Name,Financial_Health_Score,Risk_Category,Confidence,Recommended_Loan_Amount,Recommended_Tenure_Months,Recommended_Interest_Band,Approval_Decision,Scoring_Rationale
MSME001,Balaji Residency,100.0,Low,0.922,4932799.28,36,10.5% - 12.5%,Approve,Volatility 0.22 → +11.6 | Buffer 48.4d → +9.7 | ExpRatio 0.85 → +3.0 | EMI ratio 0.00 → +2.0 | Growth 0.07 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME079,Om Sai Transport,66.42,Medium,0.964,2110063.83,24,13.0% - 15.5%,Conditional Approval,Volatility 0.10 → +13.4 | Buffer 17.3d → +3.5 | ExpRatio 0.95 → -10.0 | EMI ratio 0.07 → +0.0 | Growth -0.05 → -3.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME080,Jodhpur Confectionery,89.34,Low,0.891,2701618.72,48,10.5% - 12.5%,Approve,Volatility 0.24 → +11.4 | Buffer 45.4d → +9.1 | ExpRatio 0.83 → +3.0 | EMI ratio 0.00 → +2.0 | Growth -0.09 → -3.0 | GST reg 0.50 → +4.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME081,Ganesh Milk Products,64.84,Medium,0.97,2547179.43,48,13.0% - 15.5%,Conditional Approval,Volatility 0.09 → +13.7 | Buffer 6.7d → +1.3 | ExpRatio 0.99 → -10.0 | EMI ratio 0.07 → +0.0 | Growth -0.10 → -3.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME082,Balaji Digital World,62.26,Medium,0.912,3224427.29,36,13.0% - 15.5%,Conditional Approval,Volatility 0.25 → +11.2 | Buffer 8.2d → +1.6 | ExpRatio 0.99 → -10.0 | EMI ratio 0.09 → +0.0 | Growth -0.23 → -6.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME083,Sri Fashions,90.87,Low,0.913,5766721.14,48,10.5% - 12.5%,Approve,Volatility 0.25 → +11.3 | Buffer 39.8d → +8.0 | ExpRatio 0.83 → +3.0 | EMI ratio 0.00 → +2.0 | Growth -0.13 → -3.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME084,New Bistro,65.26,Medium,0.951,1198417.82,36,13.0% - 15.5%,Conditional Approval,Volatility 0.14 → +12.9 | Buffer -0.0d → +-0.0 | ExpRatio 1.00 → -10.0 | EMI ratio 0.14 → -4.0 | Growth 0.25 → +8.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -6.0
MSME085,Ganesh Krishi Kendra,90.15,Low,0.946,3129095.76,36,10.5% - 12.5%,Approve,Volatility 0.15 → +12.7 | Buffer 37.4d → +7.5 | ExpRatio 0.86 → -2.0 | EMI ratio 0.00 → +2.0 | Growth 0.06 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME086,Star Infra,90.67,Low,0.937,6079655.71,48,10.5% - 12.5%,Approve,Volatility 0.13 → +13.0 | Buffer 38.7d → +7.7 | ExpRatio 0.88 → -2.0 | EMI ratio 0.00 → +2.0 | Growth 0.02 → +1.0 | GST reg 0.67 → +5.3 | Bounces 0 → -0.0 | MinBal → +3.0
MSME087,Sri Agri Centre,97.2,Low,0.943,5208286.65,48,10.5% - 12.5%,Approve,Volatility 0.16 → +12.6 | Buffer 43.5d → +8.7 | ExpRatio 0.85 → +3.0 | EMI ratio 0.00 → +2.0 | Growth 0.05 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME088,Radha General Store,69.19,Medium,0.892,1986719.04,48,13.0% - 15.5%,Conditional Approval,Volatility 0.31 → +10.4 | Buffer 15.0d → +3.0 | ExpRatio 0.96 → -10.0 | EMI ratio 0.08 → +0.0 | Growth -0.05 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME089,Annapurna Cafe,40.92,High,0.902,427408.22,12,16.0% - 20.0%,Reject,Volatility 0.26 → +11.2 | Buffer -6.6d → +-1.3 | ExpRatio 1.10 → -10.0 | EMI ratio 0.25 → -8.0 | Growth -0.34 → -6.0 | GST reg 0.83 → +6.7 | Bounces 0 → -0.0 | MinBal → -6.0
MSME090,Sri Medi Plus,44.9,High,0.948,975316.26,24,16.0% - 20.0%,Reject,Volatility 0.11 → +13.3 | Buffer -0.8d → +-0.2 | ExpRatio 1.03 → -10.0 | EMI ratio 0.18 → -4.0 | Growth 0.10 → +5.0 | GST reg 0.75 → +6.0 | Bounces 4 → -12.0 | MinBal → -6.0
MSME091,Royal Furniture Works,83.89,Low,0.972,9890015.98,48,10.5% - 12.5%,Approve,Volatility 0.08 → +13.8 | Buffer 24.3d → +4.9 | ExpRatio 0.91 → -2.0 | EMI ratio 0.08 → +0.0 | Growth 0.09 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME092,Om Sai Carriers,75.31,Low,0.973,4742512.18,60,10.5% - 12.5%,Approve,Volatility 0.08 → +13.9 | Buffer 17.2d → +3.5 | ExpRatio 0.94 → -10.0 | EMI ratio 0.06 → +0.0 | Growth 0.04 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME093,Krishna Fabrics,73.04,Medium,0.943,2313016.29,24,13.0% - 15.5%,Conditional Approval,Volatility 0.16 → +12.6 | Buffer 11.5d → +2.3 | ExpRatio 0.95 → -10.0 | EMI ratio 0.12 → -4.0 | Growth 0.06 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME094,Royal Coffee House,87.92,Low,0.98,2383139.58,48,10.5% - 12.5%,Approve,Volatility 0.05 → +14.2 | Buffer 27.2d → +5.4 | ExpRatio 0.91 → -2.0 | EMI ratio 0.00 → +2.0 | Growth 0.03 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME095,Royal Medicals,85.84,Low,0.98,3381140.94,48,10.5% - 12.5%,Approve,Volatility 0.05 → +14.2 | Buffer 40.4d → +8.1 | ExpRatio 0.86 → -2.0 | EMI ratio 0.00 → +2.0 | Growth -0.09 → -3.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME096,Sri Industries,70.93,Medium,0.954,3889722.63,48,13.0% - 15.5%,Conditional Approval,Volatility 0.13 → +13.0 | Buffer 10.8d → +2.2 | ExpRatio 0.99 → -10.0 | EMI ratio 0.13 → -4.0 | Growth 0.20 → +8.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME097,Ritu Telecom,63.84,Medium,0.934,1741825.81,36,13.0% - 15.5%,Conditional Approval,Volatility 0.19 → +12.2 | Buffer 8.9d → +1.8 | ExpRatio 0.99 → -10.0 | EMI ratio 0.00 → +2.0 | Growth -0.09 → -3.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME098,Annapurna Products,67.55,Medium,0.936,5151526.51,48,13.0% - 15.5%,Conditional Approval,Volatility 0.18 → +12.3 | Buffer 9.8d → +1.9 | ExpRatio 1.01 → -10.0 | EMI ratio 0.15 → -4.0 | Growth 0.16 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME099,Star Textiles,37.45,High,0.929,0.0,0,N/A,Reject,Volatility 0.17 → +12.5 | Buffer -1.5d → +-0.3 | ExpRatio 1.04 → -10.0 | EMI ratio 0.20 → -8.0 | Growth 0.04 → +1.0 | GST reg 0.75 → +6.0 | Bounces 3 → -9.0 | MinBal → -6.0
MSME100,New Mobiles,47.82,High,0.852,520684.97,12,16.0% - 20.0%,Reject,Volatility 0.40 → +9.0 | Buffer -4.1d → +-0.8 | ExpRatio 1.03 → -10.0 | EMI ratio 0.16 → -4.0 | Growth -0.04 → +1.0 | GST reg 0.83 → +6.7 | Bounces 0 → -0.0 | MinBal → -6.0
MSME101,Royal Auto Garage,67.37,Medium,0.974,2273370.53,24,13.0% - 15.5%,Conditional Approval,Volatility 0.07 → +13.9 | Buffer 11.9d → +2.4 | ExpRatio 0.98 → -10.0 | EMI ratio 0.12 → -4.0 | Growth 0.17 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME102,Shree Manufacturing,94.97,Low,0.957,5710912.47,36,10.5% - 12.5%,Approve,Volatility 0.12 → +13.2 | Buffer 25.8d → +5.2 | ExpRatio 0.90 → -2.0 | EMI ratio 0.00 → +2.0 | Growth 0.23 → +8.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME103,Shree Family Dhaba,93.52,Low,0.98,4293538.44,60,10.5% - 12.5%,Approve,Volatility 0.05 → +14.2 | Buffer 30.6d → +6.1 | ExpRatio 0.88 → -2.0 | EMI ratio 0.00 → +2.0 | Growth 0.01 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME104,New Electronics,89.75,Low,0.897,7231541.12,36,10.5% - 12.5%,Approve,Volatility 0.29 → +10.6 | Buffer 29.1d → +5.8 | ExpRatio 0.90 → -2.0 | EMI ratio 0.00 → +2.0 | Growth -0.04 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME105,New Residency,79.09,Low,0.935,4659584.71,48,10.5% - 12.5%,Approve,Volatility 0.19 → +12.2 | Buffer 22.8d → +4.6 | ExpRatio 0.91 → -2.0 | EMI ratio 0.06 → +0.0 | Growth -0.06 → -3.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME106,Mumbai Cafe,53.24,High,0.947,703889.58,12,16.0% - 20.0%,Reject,Volatility 0.09 → +13.6 | Buffer 0.6d → +0.1 | ExpRatio 1.00 → -10.0 | EMI ratio 0.14 → -4.0 | Growth 0.08 → +5.0 | GST reg 0.58 → +4.7 | Bounces 2 → -6.0 | MinBal → -6.0
MSME107,Ganesh Apparels,64.57,Medium,0.893,3138869.55,36,13.0% - 15.5%,Conditional Approval,Volatility 0.31 → +10.4 | Buffer 7.3d → +1.5 | ExpRatio 0.98 → -10.0 | EMI ratio 0.09 → +0.0 | Growth 0.04 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME108,Ganesh Mobile World,83.38,Low,0.952,1775433.21,36,10.5% - 12.5%,Approve,Volatility 0.14 → +12.9 | Buffer 25.9d → +5.2 | ExpRatio 0.98 → -10.0 | EMI ratio 0.00 → +2.0 | Growth 0.14 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME109,Om Sai Farm Supplies,78.7,Low,0.934,6683420.67,60,10.5% - 12.5%,Approve,Volatility 0.19 → +12.2 | Buffer 17.5d → +3.5 | ExpRatio 0.95 → -10.0 | EMI ratio 0.08 → +0.0 | Growth 0.03 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME110,Krishna Hardware,78.78,Low,0.956,4855073.1,60,10.5% - 12.5%,Approve,Volatility 0.13 → +13.1 | Buffer 17.8d → +3.6 | ExpRatio 0.93 → -10.0 | EMI ratio 0.04 → +0.0 | Growth 0.09 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME111,New Service Point,92.96,Low,0.971,2708938.6,48,10.5% - 12.5%,Approve,Volatility 0.08 → +13.8 | Buffer 30.7d → +6.1 | ExpRatio 0.90 → -2.0 | EMI ratio 0.00 → +2.0 | Growth -0.02 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME112,Ganesh Pharmacy,99.13,Low,0.98,3808607.85,36,10.5% - 12.5%,Approve,Volatility 0.04 → +14.5 | Buffer 47.3d → +9.5 | ExpRatio 0.80 → +3.0 | EMI ratio 0.00 → +2.0 | Growth -0.01 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME113,Thiruvananthapuram Bakery,70.43,Medium,0.935,1672173.44,48,13.0% - 15.5%,Conditional Approval,Volatility 0.19 → +12.2 | Buffer 11.1d → +2.2 | ExpRatio 0.97 → -10.0 | EMI ratio 0.11 → -4.0 | Growth 0.06 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME114,Hyderabad Transport,92.27,Low,0.963,2593608.62,36,10.5% - 12.5%,Approve,Volatility 0.11 → +13.4 | Buffer 32.1d → +6.4 | ExpRatio 0.91 → -2.0 | EMI ratio 0.00 → +2.0 | Growth 0.02 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME115,Shree General Store,39.03,High,0.883,0.0,0,N/A,Reject,Volatility 0.27 → +10.9 | Buffer -8.8d → +-1.8 | ExpRatio 1.07 → -10.0 | EMI ratio 0.44 → -12.0 | Growth 0.36 → +8.0 | GST reg 0.58 → +4.7 | Bounces 3 → -9.0 | MinBal → -6.0
MSME116,Balaji Provisions,83.1,Low,0.919,3821750.77,48,10.5% - 12.5%,Approve,Volatility 0.23 → +11.5 | Buffer 34.1d → +6.8 | ExpRatio 0.87 → -2.0 | EMI ratio 0.00 → +2.0 | Growth -0.10 → -3.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME117,Bharat Confectionery,79.28,Low,0.925,980156.33,48,10.5% - 12.5%,Approve,Volatility 0.21 → +11.8 | Buffer 38.0d → +7.6 | ExpRatio 0.92 → -10.0 | EMI ratio 0.00 → +2.0 | Growth -0.06 → -3.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME118,Krishna Kitchen,92.7,Low,0.977,6396743.63,60,10.5% - 12.5%,Approve,Volatility 0.07 → +14.0 | Buffer 37.7d → +7.5 | ExpRatio 0.86 → -2.0 | EMI ratio 0.00 → +2.0 | Growth -0.10 → -3.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME119,Star General Store,93.01,Low,0.961,5127870.11,60,10.5% - 12.5%,Approve,Volatility 0.11 → +13.3 | Buffer 29.6d → +5.9 | ExpRatio 0.88 → -2.0 | EMI ratio 0.00 → +2.0 | Growth 0.06 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME120,Bharat Printers,92.53,Low,0.98,4461805.08,36,10.5% - 12.5%,Approve,Volatility 0.05 → +14.2 | Buffer 40.0d → +8.0 | ExpRatio 0.83 → +3.0 | EMI ratio 0.00 → +2.0 | Growth -0.04 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME121,Annapurna Kirana,68.93,Medium,0.931,2721832.07,48,13.0% - 15.5%,Conditional Approval,Volatility 0.20 → +12.0 | Buffer 15.2d → +3.0 | ExpRatio 0.95 → -10.0 | EMI ratio 0.08 → +0.0 | Growth -0.12 → -3.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME122,Dehradun Kirana,68.65,Medium,0.929,1975339.36,36,13.0% - 15.5%,Conditional Approval,Volatility 0.20 → +11.9 | Buffer 14.3d → +2.9 | ExpRatio 0.95 → -10.0 | EMI ratio 0.06 → +0.0 | Growth -0.08 → -3.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME123,Bharat Wood Craft,55.82,Medium,0.939,2229645.73,36,13.0% - 15.5%,Conditional Approval,Volatility 0.17 → +12.4 | Buffer 8.1d → +1.6 | ExpRatio 1.01 → -10.0 | EMI ratio 0.21 → -8.0 | Growth -0.04 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME124,Star Roadways,36.01,High,0.942,0.0,0,N/A,Reject,Volatility 0.13 → +13.0 | Buffer -0.8d → +-0.2 | ExpRatio 1.02 → -10.0 | EMI ratio 0.20 → -8.0 | Growth -0.05 → +1.0 | GST reg 0.75 → +6.0 | Bounces 5 → -12.0 | MinBal → -6.0
MSME125,New Confectionery,84.56,Low,0.956,1568948.4,48,10.5% - 12.5%,Approve,Volatility 0.13 → +13.1 | Buffer 25.3d → +5.1 | ExpRatio 0.93 → -10.0 | EMI ratio 0.00 → +2.0 | Growth 0.14 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME126,New Interiors,70.91,Medium,0.933,3811227.39,24,13.0% - 15.5%,Conditional Approval,Volatility 0.19 → +12.1 | Buffer 12.5d → +2.5 | ExpRatio 0.99 → -10.0 | EMI ratio 0.13 → -4.0 | Growth 0.09 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME127,Naveen Furniture Works,99.64,Low,0.921,7133528.45,60,10.5% - 12.5%,Approve,Volatility 0.19 → +12.1 | Buffer 46.7d → +9.3 | ExpRatio 0.85 → +3.0 | EMI ratio 0.00 → +2.0 | Growth 0.07 → +5.0 | GST reg 0.75 → +6.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME128,Bharat Logistics,69.3,Medium,0.891,4943113.54,36,13.0% - 15.5%,Conditional Approval,Volatility 0.31 → +10.3 | Buffer 21.2d → +4.2 | ExpRatio 0.93 → -10.0 | EMI ratio 0.06 → +0.0 | Growth -0.04 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME129,Meena Wood Craft,98.61,Low,0.944,5140363.0,60,10.5% - 12.5%,Approve,Volatility 0.16 → +12.6 | Buffer 34.3d → +6.9 | ExpRatio 0.86 → -2.0 | EMI ratio 0.00 → +2.0 | Growth 0.18 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME130,Shree Agri Centre,99.82,Low,0.943,4796864.48,36,10.5% - 12.5%,Approve,Volatility 0.16 → +12.6 | Buffer 41.6d → +8.3 | ExpRatio 0.86 → -2.0 | EMI ratio 0.00 → +2.0 | Growth 0.16 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME131,Krishna Family Dhaba,95.02,Low,0.976,4960027.39,60,10.5% - 12.5%,Approve,Volatility 0.07 → +14.0 | Buffer 39.5d → +7.9 | ExpRatio 0.87 → -2.0 | EMI ratio 0.00 → +2.0 | Growth -0.04 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME132,Bharat Farm Supplies,86.06,Low,0.937,6026691.84,48,10.5% - 12.5%,Approve,Volatility 0.18 → +12.3 | Buffer 23.7d → +4.7 | ExpRatio 0.89 → -2.0 | EMI ratio 0.04 → +0.0 | Growth 0.16 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME133,Bharat Mobiles,79.88,Low,0.913,6491270.43,60,10.5% - 12.5%,Approve,Volatility 0.25 → +11.3 | Buffer 18.8d → +3.8 | ExpRatio 0.94 → -10.0 | EMI ratio 0.00 → +2.0 | Growth 0.04 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME134,Star Sarees,72.76,Medium,0.949,5877858.13,36,13.0% - 15.5%,Conditional Approval,Volatility 0.15 → +12.8 | Buffer 19.1d → +3.8 | ExpRatio 0.95 → -10.0 | EMI ratio 0.10 → +0.0 | Growth 0.05 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME135,New Sanitary & Hardware,100.0,Low,0.944,3844959.84,60,10.5% - 12.5%,Approve,Volatility 0.16 → +12.6 | Buffer 39.9d → +8.0 | ExpRatio 0.90 → -2.0 | EMI ratio 0.00 → +2.0 | Growth 0.21 → +8.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME136,Deepak Roadways,68.31,Medium,0.96,3385289.82,36,13.0% - 15.5%,Conditional Approval,Volatility 0.11 → +13.3 | Buffer 19.9d → +4.0 | ExpRatio 0.92 → -10.0 | EMI ratio 0.06 → +0.0 | Growth -0.12 → -3.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME137,Annapurna Medi Store,62.41,Medium,0.935,1580213.53,24,13.0% - 15.5%,Conditional Approval,Volatility 0.19 → +12.2 | Buffer 9.3d → +1.9 | ExpRatio 1.00 → -10.0 | EMI ratio 0.16 → -4.0 | Growth 0.18 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME138,Royal Industries,88.46,Low,0.962,8601599.18,36,10.5% - 12.5%,Approve,Volatility 0.11 → +13.4 | Buffer 29.7d → +5.9 | ExpRatio 0.88 → -2.0 | EMI ratio 0.00 → +2.0 | Growth -0.06 → -3.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME139,Amit Fabrics,44.6,High,0.917,780620.38,18,16.0% - 20.0%,Reject,Volatility 0.14 → +12.9 | Buffer 4.2d → +0.8 | ExpRatio 0.99 → -10.0 | EMI ratio 0.12 → -4.0 | Growth -0.01 → +1.0 | GST reg 0.33 → +2.7 | Bounces 3 → -9.0 | MinBal → -6.0
MSME140,Bharat Kirana,50.12,High,0.903,519003.21,24,16.0% - 20.0%,Reject,Volatility 0.23 → +11.6 | Buffer -3.5d → +-0.7 | ExpRatio 1.04 → -10.0 | EMI ratio 0.17 → -4.0 | Growth 0.01 → +1.0 | GST reg 0.67 → +5.3 | Bounces 1 → -3.0 | MinBal → -6.0
MSME141,New Sarees,90.28,Low,0.923,4899654.0,48,10.5% - 12.5%,Approve,Volatility 0.22 → +11.7 | Buffer 26.8d → +5.4 | ExpRatio 0.88 → -2.0 | EMI ratio 0.09 → +0.0 | Growth 0.35 → +8.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME142,Ganesh Dairy,84.38,Low,0.98,3945792.56,48,10.5% - 12.5%,Approve,Volatility 0.03 → +14.5 | Buffer 25.7d → +5.1 | ExpRatio 0.94 → -10.0 | EMI ratio 0.00 → +2.0 | Growth -0.01 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME143,Krishna Digital World,65.15,Medium,0.908,4394889.11,36,13.0% - 15.5%,Conditional Approval,Volatility 0.26 → +11.1 | Buffer 8.1d → +1.6 | ExpRatio 1.00 → -10.0 | EMI ratio 0.14 → -4.0 | Growth -0.04 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME144,Krishna Manufacturing,60.7,Medium,0.961,4385333.5,36,13.0% - 15.5%,Conditional Approval,Volatility 0.11 → +13.3 | Buffer 15.8d → +3.2 | ExpRatio 0.96 → -10.0 | EMI ratio 0.10 → -4.0 | Growth -0.14 → -3.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME145,Sri Sanitary & Hardware,95.0,Low,0.945,5700698.55,60,10.5% - 12.5%,Approve,Volatility 0.16 → +12.6 | Buffer 26.6d → +5.3 | ExpRatio 0.86 → -2.0 | EMI ratio 0.00 → +2.0 | Growth 0.33 → +8.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME146,Krishna Sarees,75.63,Low,0.947,5367084.29,60,10.5% - 12.5%,Approve,Volatility 0.15 → +12.7 | Buffer 18.9d → +3.8 | ExpRatio 0.99 → -10.0 | EMI ratio 0.16 → -4.0 | Growth 0.20 → +8.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME147,Om Sai Family Dhaba,35.28,High,0.935,0.0,0,N/A,Reject,Volatility 0.13 → +13.1 | Buffer -14.2d → +-2.8 | ExpRatio 1.12 → -10.0 | EMI ratio 0.33 → -12.0 | Growth 0.31 → +8.0 | GST reg 0.58 → +4.7 | Bounces 5 → -12.0 | MinBal → -6.0
MSME148,Bharat Sarees,87.2,Low,0.955,5558369.7,60,10.5% - 12.5%,Approve,Volatility 0.13 → +13.1 | Buffer 19.8d → +4.0 | ExpRatio 0.92 → -2.0 | EMI ratio 0.10 → +0.0 | Growth 0.17 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME149,Manoj Garments,63.29,Medium,0.91,1639063.48,36,13.0% - 15.5%,Conditional Approval,Volatility 0.26 → +11.2 | Buffer -0.3d → +-0.1 | ExpRatio 1.03 → -10.0 | EMI ratio 0.16 → -4.0 | Growth 0.28 → +8.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -6.0
MSME150,Om Sai Garments,46.05,High,0.886,784541.56,24,16.0% - 20.0%,Reject,Volatility 0.30 → +10.5 | Buffer -7.0d → +-1.4 | ExpRatio 1.05 → -10.0 | EMI ratio 0.20 → -8.0 | Growth -0.02 → +1.0 | GST reg 0.83 → +6.7 | Bounces 0 → -0.0 | MinBal → -6.0
MSME151,Annapurna Offset Press,36.79,High,0.922,0.0,0,N/A,Reject,Volatility 0.15 → +12.7 | Buffer -6.5d → +-1.3 | ExpRatio 1.07 → -10.0 | EMI ratio 0.25 → -12.0 | Growth 0.16 → +5.0 | GST reg 0.50 → +4.0 | Bounces 3 → -9.0 | MinBal → -6.0
MSME152,Ritu Carriers,66.73,Medium,0.966,2486478.09,24,13.0% - 15.5%,Conditional Approval,Volatility 0.10 → +13.5 | Buffer 3.3d → +0.7 | ExpRatio 0.99 → -10.0 | EMI ratio 0.09 → +0.0 | Growth 0.11 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -6.0
MSME153,Royal Electronics,41.45,High,0.87,486835.38,12,16.0% - 20.0%,Reject,Volatility 0.30 → +10.5 | Buffer -7.8d → +-1.6 | ExpRatio 1.06 → -10.0 | EMI ratio 0.27 → -12.0 | Growth 0.30 → +8.0 | GST reg 0.50 → +4.0 | Bounces 2 → -6.0 | MinBal → -6.0
MSME154,Star Medicals,86.24,Low,0.975,4914847.99,36,10.5% - 12.5%,Approve,Volatility 0.07 → +13.9 | Buffer 25.6d → +5.1 | ExpRatio 0.93 → -10.0 | EMI ratio 0.10 → +0.0 | Growth 0.18 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME155,Krishna Bakery,76.62,Low,0.909,1584209.21,36,10.5% - 12.5%,Approve,Volatility 0.26 → +11.1 | Buffer 33.0d → +6.6 | ExpRatio 0.88 → -2.0 | EMI ratio 0.00 → +2.0 | Growth -0.12 → -3.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME156,Royal Mobile World,66.42,Medium,0.919,2294563.82,48,13.0% - 15.5%,Conditional Approval,Volatility 0.23 → +11.5 | Buffer 9.5d → +1.9 | ExpRatio 1.02 → -10.0 | EMI ratio 0.16 → -4.0 | Growth 0.20 → +8.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME157,Royal Tools,45.79,High,0.882,953578.87,18,16.0% - 20.0%,Reject,Volatility 0.31 → +10.3 | Buffer -2.2d → +-0.4 | ExpRatio 1.05 → -10.0 | EMI ratio 0.23 → -8.0 | Growth -0.08 → -3.0 | GST reg 0.83 → +6.7 | Bounces 0 → -0.0 | MinBal → -6.0
